class,text
Non-Hate,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
Non-Hate,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
Non-Hate,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
Non-Hate,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
Non-Hate,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
Non-Hate,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
Non-Hate,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
Non-Hate,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
Non-Hate,""" &amp; you might not get ya bitch back &amp; thats that """
Non-Hate,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
Non-Hate,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
Non-Hate,""" Murda Gang bitch its Gang Land """
Non-Hate,""" So hoes that smoke are losers ? "" yea ... go on IG"
Non-Hate,""" bad bitches is the only thing that i like """
Non-Hate,""" bitch get up off me """
Non-Hate,""" bitch nigga miss me with it """
Non-Hate,""" bitch plz whatever """
Non-Hate,""" bitch who do you love """
Non-Hate,""" bitches get cut off everyday B """
Non-Hate,""" black bottle &amp; a bad bitch """
Non-Hate,""" broke bitch cant tell me nothing """
Non-Hate,""" cancel that bitch like Nino """
Non-Hate,""" cant you see these hoes wont change """
Non-Hate,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
Non-Hate,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
Non-Hate,""" her pussy lips like Heaven doors "" &#128524;"
Non-Hate,""" hoe what its hitting for """
Non-Hate,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
Non-Hate,""" i need a trippy bitch who fuck on Hennessy """
Non-Hate,""" i spend my money how i want bitch its my business """
Non-Hate,""" i txt my old bitch my new bitch pussy wetter """
Non-Hate,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
Non-Hate,""" if you aint bout that Murder Game pussy nigga shut up """
Non-Hate,""" if you're toes ain't done you pussy stinks """
Non-Hate,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
Non-Hate,""" is that ya bitch """
