class,text
Hate,"Hurray, saving us $$$ in so many ways @potus @realDonaldTrump #LockThemUp #BuildTheWall #EndDACA #BoycottNFL #BoycottNike"
Hate,"Why would young fighting age men be the vast majority of the ones escaping a war &amp; not those who cannot fight like women, children, and the elderly?It's because the majority of the refugees are not actually refugees they are economic migrants trying to get into Europe.... https://t.co/Ks0SHbtYqn"
Hate,"@KamalaHarris Illegals Dump their Kids at the border like Road Kill and Refuse to Unite! They Hope they get Amnesty, Free Education and Welfare Illegal #FamilesBelongTogether in their Country not on the Taxpayer Dime Its a SCAM #NoDACA #NoAmnesty #SendThe"
Non-Hate,NY Times: 'Nearly All White' States Pose 'an Array of Problems' for Immigrants https://t.co/ACZKLhdMV9 https://t.co/CJAlSXCzR6
Non-Hate,"Orban in Brussels: European leaders are ignoring the will of the people, they do not want migrants https://t.co/NeYFyqvYlX"
Hate,@KurtSchlichter LEGAL is. Not illegal. #BuildThatWall
Non-Hate,"@RitaPanahi @826Maureen @RealCandaceO Antifa are just a pack of druggie misfits that no one loves, being the violent thugs they are is their cry for attention and their hit of self importance.#JuvenileDelinquents"
Non-Hate,Ex-Teacher Pleads Not guilty To Rape Charges https://t.co/D2mGu3VT5G
Non-Hate,still places on our Bengali (Sylheti) class! it's London's 2nd language! know anyone interested @SBSisters @refugeecouncil @DocsNotCops https://t.co/sOx6shjvMx
Non-Hate,DFID Africa Regional Profile: July 2018 https://t.co/npfZCriW0w
Non-Hate,Watch: Benjamin Netanyahu backs Trump's decision to cut aid to the Palestinians and UNRWA - Free Speech Time - https://t.co/SB843Zf0IF @ISupport_Israel
Hate,"@RealDonaldTrump @HouseGOP Illegals are dumping their kids heres o they can get  welfare, aid and U.S School  Ripping off U.S Taxpayers  #SendThemBack !  Stop Alowing illegals to Abuse the Taxpayer #Immigration https://t.co/rItfeGcB5R via @BreitbartNews"
Non-Hate,"While Costa Rica has received the most asylum claims, Panama, Mexico and the USA have also recorded a growing trend of claims by Nicaraguans in need of international refugee protection. https://t.co/pp7LgFikT1"
Non-Hate,"US immigrant policy to enter US has always been - education or skill &amp; sponsor to take responsibility 4 them. In last 30 yrs, US has taken in so many with no education or means to support themselves - many never learn English. With Catch &amp; Release too many go on welfare-"
Non-Hate,"Italy’s populist coalition poised to defy EU with plans to deport 500,000 migrants https://t.co/dNxnranpM6"
Hate,"Lithuania, Romania aided CIA torture, top European Union court rules https://t.co/Xe5EDJp3jt            EU court is a joke ! Why are they silent as Europe is being destroyed with FORCED islamist immigration..."
Hate,"Worldbank reports that in the next 30 years many refugees have to leave her homeland, specially in Africa. Who will feed them ? Is Europe able to shoot them down and protect her own homeland, before it will destroyed from Africans ? https://t.co/gVBh2r9bes"
Hate,Rich African Countries don't take in African MigrantsRich muslim countries don't take in muslim migrantsRich latin american countries don't take it latin migrantsBut white countries are suppose to accept them??
Non-Hate,New research uncovers successes and failures of UK’s help for Syrian immigrants https://t.co/XCgX2mLVN9
Non-Hate,Immigration why us 2 Million EU Migrants allowed and their families also more money leaving the EU no thats to pay for their passage to get to the Uk...
Non-Hate,@NBCNews @MSNBC @jacobsoboroff @DatelineNBC Close the tunnels with gunpowder !
Non-Hate,Hitler left a stain on Germany for the atrocities he committed against the Jews.  Trump will leave a stain on America for the atrocities he's commiting against these immigrant families.  I only hope there is a reenactment of the Nuremberg Trials at the end of his reign. #Inhumane https://t.co/oZoPGNiFaE
Non-Hate,"Over the past two weeks, 1,172 refugees arrived in the US. 8,044 have arrived in FY18, but we are nearly 10,000 behind schedule. We will continue to stand for the vulnerable! #refugeeswelcome https://t.co/rYCWCz3iBt"
Non-Hate,Church leaders determine to ease #economic problems at the heart of #humantrafficking plaguing #Indonesia https://t.co/DT60zpnlVd @ucanindonesia @UNmigration @ryandagur
Non-Hate,And why should he now buckle to their demands that he swear undying trust for these A******* ?????  THEY are the enemy of this nation! #Treason https://t.co/YBuCPtPp7e
Hate,"@WattersWorld @JesseBWatters @BillSpadea How about discussing this? #JoeBiden's ""black box"" of American success. #WhiteGenocide #ImmigrationInvasion #JesseWatters #WatersWorldhttps://t.co/k8bWjj7tnp"
Non-Hate,"It is a cruel irony that sikhs often **look** more exotic to American eyes, even though they tend to be among the most deeply assimilated of immigrant groups. of course the people they're mistaken for also don't deserve to be attacked. https://t.co/57NitaFqce"
Hate,EU’s hailed migrant plan ‘˜a road to Hell’ Czech Republic refuses involvement https://t.co/sIBKJA9Dfc
Non-Hate,Could you open up your home to refugees in need? https://t.co/0F2rzmYCSw
Hate,"MS-13 spreads to 22 states, fed by 300,000 illegals, DACA recipients, tied to 207 murders@GOPLeader @HouseGOP@SpeakerRyan#NoDACA #NoAmnesty#DeportThemAll#BuildTheWallAmnesty creates more Illegal Migration, always has, always will."
Non-Hate,Activists chained to Italian transport ministry to protest immigration policy https://t.co/dLCCKcCgud
Non-Hate,"Spain: migrants riot to protest against the slow WIFI, the uncomfortable bed and the disgusting food In the shelter - Free Speech Time - https://t.co/APCZjuflhw @ISupport_Israel"
Non-Hate,"Please listen to a Syrian refugee now in Germany.  He asks that people around the world demand that the annihilation of women and children, deliberate attacks on hospitals and medial people and the mass bombings be tried as the crimes they truly are. https://t.co/wkgRDvxRlN"
Hate,The real truth is after Cologne and in the Nordic countries and Others no one trusts any refugees a better life for them doesn't mean 1. 4 u
Non-Hate,"Federal judge to #Trump: ""imminent danger"" of ""irreparable injury to #refugees, visa-holders"", etc. @realDonaldTrump https://t.co/W9lEjzbtBF"
Hate,"Watch: French Mayor Declares ""Muslim migrants are not welcome here"" - Free Speech Time - https://t.co/B59JBkSyXH @ISupport_Israel"
Non-Hate,Border Ranchers Shock MSNBC With Facts On Illegal Immigration https://t.co/v3YTvUAabS via @dailycaller
Non-Hate,"Texas has 'moral responsibility' to protect detained immigrant kids, Hispanic lawmakers say  Yes, and so do other 49 other jurisdictions in as many States of the Union - each having state laws against child abuse. https://t.co/ZUsLPZNwPM"
Hate,two children washed up on a barb wired beach another scum photographer another attempt to get the EU to take more migrants enough propaganda
Non-Hate,Illegal alien charged with murder of homeless woman in New York City: https://t.co/j9vjkuiI6K  #StopTheInvasion
Hate,"Watch: Muslim migrants terrorizing Swedish people, including the elderly people who stand on their way - Free Speech Time - https://t.co/2PP3R7fJdz @ISupport_Israel"
Non-Hate,EU is more worried about 'populism' than about tens of thousands of migrants reaching Spain https://t.co/ZGWGh76AvE
Hate,(Islam in Europe) Documentary how Arab and African Immigrants Destroying... https://t.co/azrLoJbLbh via @YouTube
Non-Hate,"While @realDonaldTrump attacks our state’s immigrants, @BruceRauner has dragged his feet on signing critical legislation to protect our immigrant community, including:  ☑️ SB 34 ☑️ SB 35 ☑️ SB 3103 ☑️ SB 3109 ☑️ SB 3488  #ilgov #twill https://t.co/AyWuAZwNEf"
Non-Hate,Rescued migrants arrive in Pozzallo as Italy grants approval to dock https://t.co/rqcLQ9uyhk
Hate,"@AmyMek Passenger from Harlingen to Dallas,TX has infected many to measles!!! Stop the invasion. #BuildThatWall #KAG"
Hate,This is what the streets of the #uk will look like in 10 more years #Brexitnow #stopimmigration
Non-Hate,"A legal immigrant leaves the US because her visa has not been renewed yet, and tons of people give her shit because of her stance against illegal immigration. Cuz Logic!!! @Barbara4u2 Stay awesome, stay positive, we all love you. https://t.co/G2rTs0O3hw"
Non-Hate,Italian bishop warns that Europe must avoid “fear and xenophobia” and welcome Muslim migrants https://t.co/e5iawmYeAz via @jihadwatchRS Another Christion moron with a death wish. https://t.co/4OwEEIRJbq
Hate,@RealJamesWoods And this is what we have to look forward to. We made the Arab world RICH while a few here got paid! Now we have this! #BuildThatWall
Non-Hate,"The establishment of Europe has a court of humanrights. This court allows crimerefugees to stay forever in Europe. They will not send back in her homeland. So this court has a responsibility for a mulricriminal society in future, one says. https://t.co/Q2R5OKABGj"
Non-Hate,"Dear @KingJames Thank you for giving back. As a son of an immigrant who came to the US with16¢ in his pocket, thank you for giving opportunity. I am one of your biggest fans, not because of your athletic prowess, but from your commitment that EDUCATION is the ultimate equalizer. https://t.co/K8aAV6Cqhq"
Non-Hate,The plight of #Rohingya represents the present and the future of not just for #Myanmar but for much of South and #SoutheastAsia https://t.co/1JMvl4m5S9 @SC_Humanitarian @save_children @MSF @UnicefAsiaPac @UNmigration @theIRC @HRWBurma @rohingyablogger @FortifyRights @OpRohingya
Non-Hate,We are no longer alone: Italian Prime Minister hails #EU migrant distribution a success https://t.co/Tk6LMEPB7f
Non-Hate,"Lisdoonvarna, a village earmarked for replacement. Along with a growing number of other towns and cities right across Ireland. Listen to Irish (FG) Minister for 'Equality, Immigration and... https://t.co/1IdSAUwiyM"
Hate,Let's build that wall.#BuildThatWall
Non-Hate,US Supreme Court Upholds Donald Trump's Immigration Travel Ban (for now) https://t.co/R74RVk96DN via @YouTube
Non-Hate,Worker charged with sexually molesting eight children at immigrant shelter https://t.co/w3eLVGJcUi #sasc #colga #speakup #speakout
Non-Hate,Guatemalan mother separated from her 7-year-old daughter waits https://t.co/DbVk2EYt9A
Non-Hate,"Instead of making Illinois a welcoming state, @BruceRauner has turned his back on our immigrant communities and has a series of bills sitting on his desk #ilgov #twill https://t.co/NtZNnPkNrm"
Hate,@liberal_party I was in Toronto last year. It no longer looked like Canada. Very sad situation. The Canadians were good people.https://t.co/7bHGpS1cH0Stop immigration. Start deportations. We have the right to our homelands.
Hate,"Democratic PATRIOTS pls call your representatives and demand #Kavanaugh be confirmed, esp if up for re-election. .@PressSec .@realDonaldTrump .@GenFlynn #SaturdayMotivation #USOpen2018 .@reba .@katyperry .@johnrich #MAGA #BuildThatWall #RedNationRising #WalkAway"
Non-Hate,The new anti-migrant national consensus https://t.co/ktZ1Jg59H5
Hate,Sweden: Migrant raped 92-year old grandmother on Christmas Eve – allowed to remain in Sweden #SWRM #SendThemHome #Sweden #Rapists https://t.co/aDxcQP00Hr via @pamelageller
Non-Hate,Right on.  https://t.co/lT9NGugnfe
Non-Hate,"I have an immigrant mentality, which is that the job can be taken away at any time, so make sure you earn it every day,”   How  Pepsi’s Indra Nooyi Learned To Be A CEO https://t.co/tgGKsLYJEe"
Non-Hate,"Join @survivepunish for a teach-in about surviving violence, ICE and the experiences of criminalized immigrant survivors this Thursday in SF https://t.co/zeTEn27F73 https://t.co/M3UKVv0j55"
Non-Hate,Polish Prime Minister Mateusz Morawiecki insisted that Poland would push  against any discussion on refugee relocations as part of the EU’s  migration politics.https://t.co/AkuP6sjzfK
Hate,"@DFBHarvard SO WELL SAID, Daniel!His speeches ALL smack of Alinsky; divide & conquer by victimizing one group & calling out the other as bigots, racists, fascist, etc.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BackTheBlu"
Hate,"@sriharikaranth @AsYouNotWish Here it is not about Refugees or Illegal immigrants. It is about whether one has documents before 1971 or not. Now, it is difficult for slum people and beggars to show valid documents, except the name in voter list. 1st under"
Non-Hate,"Refugees don't choose to be refugees. By definition, refugees have been forced to leave their home country because their lives or safety were threatened.Learn more about refugees by downloading our free e-book ""8 Things You Should Know About Refugees"" âž_x009d_ https://t.co/7FgO8dFr2e https://t.co/IVxoYMn5KM"
Non-Hate,Rally To Support Detained Pizza-Worker Immigrant https://t.co/0Yd09XlBtK
Hate,I'd say electrify the water but that would kill wildlife. #SendThemBack
Non-Hate,actually both Milo and Alex have a friend in the White House- so ain't nobody ''come' for them- unlike say muslims ot immigrant chilfren https://t.co/uqnZ8oRJ97
Hate,Good news.We are against illegal immigrants.Bangladeshi must go https://t.co/yhY6HEOtLm your evidence and stay at Assam. https://t.co/34sQqHPM5z
Hate,@CBSNews Just deport all these illegal aliens and their kids back to their 3rd world nations. American citizens taxpayers are tired of being robbed by the 3rd world nation paying for these illegal aliens and their kids! #MAGA #BuildTheWall #NoDACA #NoAmne
Non-Hate,"@Jeremy_Hunt @RoyalAirForce Germans are OK, like the rest of Western Europe, the immigration problem came from the East (Romania) The are partly responsible for the no vote, also the EU being unelected can hardly claim to represent any European nation.."
Non-Hate,"Maninder: How I felt, when Immigration New Zealand said ""NO"" to me!: http://t.co/T5oGG0I9Cy via @YouTube"
