class,text,hate
Hate,hurray saving us in so many ways lockthemup buildthewall enddaca boycottnfl boycottnike,1
Hate,why would young fighting age men be the vast majority of the ones escaping a war amp not those who cannot fight like women children and the elderlyits because the majority of the refugees are not actually refugees they are economic migrants trying to get into europe ,1
Hate, illegals dump their kids at the border like road kill and refuse to unite they hope they get amnesty free education and welfare illegal familesbelongtogether in their country not on the taxpayer dime its a scam nodaca noamnesty sendthe,1
Non-Hate,ny times nearly all white states pose an array of problems for immigrants ,0
Non-Hate,orban in brussels european leaders are ignoring the will of the people they do not want migrants ,0
Hate, legal is not illegal buildthatwall,1
Non-Hate, antifa are just a pack of druggie misfits that no one loves being the violent thugs they are is their cry for attention and their hit of self importancejuveniledelinquents,0
Non-Hate,exteacher pleads not guilty to rape charges ,0
Non-Hate,still places on our bengali sylheti class its londons nd language know anyone interested ,0
Non-Hate,dfid africa regional profile july ,0
Non-Hate,watch benjamin netanyahu backs trumps decision to cut aid to the palestinians and unrwa free speech time ,0
Hate, illegals are dumping their kids heres o they can get welfare aid and us school ripping off us taxpayers sendthemback stop alowing illegals to abuse the taxpayer immigration via ,1
Non-Hate,while costa rica has received the most asylum claims panama mexico and the usa have also recorded a growing trend of claims by nicaraguans in need of international refugee protection ,0
Non-Hate,us immigrant policy to enter us has always been education or skill amp sponsor to take responsibility them in last yrs us has taken in so many with no education or means to support themselves many never learn english with catch amp release too many go on welfare,0
Non-Hate,italys populist coalition poised to defy eu with plans to deport migrants ,0
Hate,lithuania romania aided cia torture top european union court rules eu court is a joke why are they silent as europe is being destroyed with forced islamist immigration,1
Hate,worldbank reports that in the next years many refugees have to leave her homeland specially in africa who will feed them is europe able to shoot them down and protect her own homeland before it will destroyed from africans ,1
Hate,rich african countries dont take in african migrantsrich muslim countries dont take in muslim migrantsrich latin american countries dont take it latin migrantsbut white countries are suppose to accept them,1
Non-Hate,new research uncovers successes and failures of uks help for syrian immigrants ,0
Non-Hate,immigration why us million eu migrants allowed and their families also more money leaving the eu no thats to pay for their passage to get to the uk,0
Non-Hate, close the tunnels with gunpowder ,0
Non-Hate,hitler left a stain on germany for the atrocities he committed against the jews trump will leave a stain on america for the atrocities hes commiting against these immigrant families i only hope there is a reenactment of the nuremberg trials at the end of his reign inhumane ,0
