class,text,hate
Hate,hurray save us  mani way   #lockthemup #buildthewal #enddaca #boycottnfl #boycottnik,1
Hate,would young fight age men vast major one escap war amp cannot fight like women children elderlyit major refuge actual refuge econom migrant tri get europ ,1
Hate, illeg dump kid border like road kill refus unit hope get amnesti free educ welfar illeg #familesbelongtogeth countri taxpay dime scam #nodaca #noamnesti #sendth,1
Non-Hate,ny time near white state pose array problem immigr  ,0
Non-Hate,orban brussel european leader ignor peopl want migrant ,0
Hate, legal illeg #buildthatwal,1
Non-Hate,   antifa pack druggi misfit one love violent thug cri attent hit self importance#juveniledelinqu,0
Non-Hate,exteach plead guilti rape charg ,0
Non-Hate,still place bengali sylheti class london nd languag know anyon interest    ,0
Non-Hate,dfid africa region profil juli  ,0
Non-Hate,watch benjamin netanyahu back trump decis cut aid palestinian unrwa  free speech time   ,0
Hate,  illeg dump kid here get  welfar aid us school  rip us taxpay  #sendthemback   stop alow illeg abus taxpay #immigr  via ,1
Non-Hate,costa rica receiv asylum claim panama mexico usa also record grow trend claim nicaraguan need intern refuge protect ,0
Non-Hate,us immigr polici enter us alway  educ skill amp sponsor take respons  last  yrs us taken mani educ mean support  mani never learn english catch amp releas mani go welfar,0
Non-Hate,itali populist coalit pois defi eu plan deport  migrant ,0
Hate,lithuania romania aid cia tortur top european union court rule             eu court joke  silent europ destroy forc islamist immigr,1
Hate,worldbank report next  year mani refuge leav homeland special africa feed  europ abl shoot protect homeland destroy african  ,1
Hate,rich african countri dont take african migrantsrich muslim countri dont take muslim migrantsrich latin american countri dont take latin migrantsbut white countri suppos accept,1
Non-Hate,new research uncov success failur uk help syrian immigr ,0
Non-Hate,immigr us  million eu migrant allow famili also money leav eu that pay passag get uk,0
Non-Hate,    close tunnel gunpowd ,0
Non-Hate,hitler left stain germani atroc commit jew  trump leav stain america atroc hes commit immigr famili  hope reenact nuremberg trial end reign #inhuman ,0
Non-Hate,past two week  refuge arriv us  arriv fy near  behind schedul continu stand vulner #refugeeswelcom ,0
Non-Hate,church leader determin eas #econom problem heart #humantraffick plagu #indonesia    ,0
Non-Hate,buckl demand swear undi trust   enemi nation #treason ,0
Hate,   discuss #joebiden black box american success #whitegenocid #immigrationinvas #jessewatt #watersworld,1
Non-Hate,cruel ironi sikh often look exot american eye even though tend among deepli assimil immigr group cours peopl theyr mistaken also dont deserv attack ,0
Hate,eus hail migrant plan road hell czech republ refus involv ,1
Non-Hate,could open home refuge need ,0
Hate,ms spread  state fed  illeg daca recipi tie  murder #nodaca #noamnesty#deportthemall#buildthewallamnesti creat illeg migrat alway alway,1
Non-Hate,activist chain italian transport ministri protest immigr polici ,0
Non-Hate,spain migrant riot protest slow wifi uncomfort bed disgust food shelter  free speech time   ,0
Non-Hate,pleas listen syrian refuge germani  ask peopl around world demand annihil women children deliber attack hospit medial peopl mass bomb tri crime truli ,0
Hate,real truth cologn nordic countri other one trust refuge better life doesnt mean   u,1
Non-Hate,feder judg #trump immin danger irrepar injuri #refuge visahold etc  ,0
Hate,watch french mayor declar muslim migrant welcom  free speech time   ,1
Non-Hate,border rancher shock msnbc fact illeg immigr  via ,0
